Headlines,Author_Dates,Summaries,Author,Date
Labour shortage amid coronavirus may hamper agricultural production & hit supply chain,"PTI - 25 March, 2020","As people flock home during the 21-day Covid-19 lockdown, dearth of labourers at cold storages & godowns in West Bengal signal a potential crisis in supply chain.",PTI ," 25 March, 2020"
Coronavirus lockdown: What states are doing to help the poor and unorganised workers,"Moushumi Das Gupta - 25 March, 2020","From Kerala’s Rs 20,000 crore package to free rations and allowance for labourers, many states are taking steps to mitigate the economic effects of Covid-19.",Moushumi Das Gupta ," 25 March, 2020"
"Chidambaram proposes cash transfers to urban, rural poor to help them during lockdown","Remya Nair - 25 March, 2020","Former finance minister P. Chidambaram presents 10-point plan to cope with lockdown, while  stressing on the need to support PM Modi in this hour of crisis.",Remya Nair ," 25 March, 2020"
"EC allows use of indelible ink to mark home quarantined, but lists two conditions","Sanya Dhingra - 25 March, 2020",The Election Commission suo moto reviewed its guidelines on the use of the indelible ink and notified the health secretary.,Sanya Dhingra ," 25 March, 2020"
"No need to panic, shops selling essentials, medicines to stay open in lockdown: Javadekar","PTI - 25 March, 2020",Union minister Prakash Javadekar said the Central & the state governments were working to effectively implement the 21-day lockdown and ensure people do not suffer.,PTI ," 25 March, 2020"
Rail coach as ICU — how Modi govt plans to beat healthcare gaps in remote areas,"Sanya Dhingra - 25 March, 2020",The Modi govt has been thinking of innovative ways to expand its medical capacity in order to address the rising incidence of COVID-19 in India.,Sanya Dhingra ," 25 March, 2020"
"How Maharashtra and southern states are celebrating Gudi Padwa, Ugadi in lockdown","Haima Deshpande - 25 March, 2020","Celebrations in urban Maharashtra were elaborate but low-key in rural areas, while in Andhra Pradesh, Telangana and Karnataka, the mood was sombre.",Haima Deshpande ," 25 March, 2020"
‘We’ll get through this’: Bengaluru cop sings Hum Honge Kamyab to make people stay indoors,"Rohini Swamy - 25 March, 2020","Bengaluru ACP Tabarak Fathima says the police force not about using the lathi, and interactions with the public help quell their fears.",Rohini Swamy ," 25 March, 2020"
"Ration items to ‘care kits’ — Zomato, NGOs, crowdfunders come to the aid of daily wagers","Fatima Khan - 25 March, 2020","While Zomato has launched a 'feed the daily wager' campaign, SAFA Society will distribute relief packages across Delhi, Hyderabad, Bengaluru and Chennai.",Fatima Khan ," 25 March, 2020"
"Modi cabinet practises social distancing at meeting, Amit Shah asks, ‘Are you?’","Moushumi Das Gupta - 25 March, 2020",A photo showing cabinet ministers sitting spread out in a room at a meeting chaired by PM Modi was shared Wednesday.,Moushumi Das Gupta ," 25 March, 2020"
Chaos hits Indian ports as coronavirus lockdown hurts operations,"Bloomberg News - 25 March, 2020","Shipping ministry has advised ports they may consider Covid-19 as grounds for invoking force majeure, absolving companies from meeting contractual commitments.",Bloomberg News ," 25 March, 2020"
4 lakh masks worth Rs 1 crore seized by Mumbai Police to curb hoarding,"PTI - 25 March, 2020","Police registered an FIR against five people including owner of the godown, agent and supplier at the Sahar police station but no arrest have been made.",PTI ," 25 March, 2020"
"Pet shelters and rescue homes fear food shortage, no medical help despite govt assurance","Soniya Agrawal - 25 March, 2020","Owners of various animal shelters in NCR are facing logistical problems apart from having to deal with sourcing food, due to the lockdown.",Soniya Agrawal ," 25 March, 2020"
Tamil Nadu registers first coronavirus death as 54-year old man dies,"PTI - 25 March, 2020",The patient had a medical history of prolonged illness with uncontrolled diabetes and hypertension. Covid-19 patients with comorbidity are at high-risk conditions.,PTI ," 25 March, 2020"
21-day lockdown needed to collect data to understand Covid-19 severity: Kiran Mazumdar-Shaw,"PTI - 25 March, 2020",The Biotech entrepreneur stressed that the present period needs to be used to step up testing to collect data.,PTI ," 25 March, 2020"
India’s lockdown is hurting medical supply deliveries that are key to fight virus,"Shruti Srivastava - 25 March, 2020",Strict movement curbs being enforced by state govts are hampering supplies of medical devices & those trying to meet the growing demands for health workers.,Shruti Srivastava ," 25 March, 2020"
"50-year-old pastor from Mizoram tests positive for COVID-19, second case in Northeast","PTI - 25 March, 2020",Health Minister Dr. R. Lalthangliana assured that the patient is fine and urged people not to panic after the state reported its first COVID-19 case.,PTI ," 25 March, 2020"
"All employees will be taking a pay cut in March, says GoAir CEO Vinay Dube","PTI - 25 March, 2020",GoAir has also laid off its expat pilots and announced that its top leadership would be taking a pay cut of up to 50 per cent.,PTI ," 25 March, 2020"
"Modi govt wants CBSE, NCERT, colleges to revise academic calendar due to Covid-19 lockdown","Kritika Sharma - 25 March, 2020",Entrance exam schedule to be revised. HRD ministry also looking at considering lockdown as vacation period for schools and start new session once situation is normal.,Kritika Sharma ," 25 March, 2020"
Attorney General KK Venugopal converts his rare book collection into public online library,"Apoorva Mandhani - 25 March, 2020","Attorney General K.K. Venugopal has had over 570 books, some of which date back to the 17th century, digitally scanned and uploaded to a website.",Apoorva Mandhani ," 25 March, 2020"
Biyani family of Future Group breaches terms of loans it took by pledging shares,"Bijou George - 25 March, 2020",Biyani family is in talks with creditors to fix the problem. It’s exploring sale of stakes in firms to pay down debt in exchange for forbearance.,Bijou George ," 25 March, 2020"
"‘Beaten, abused, spat on’: People from Northeast endure racist slurs amid coronavirus panic","Simrin Sirur - 25 March, 2020","People from Northeast have been targeted as panic over coronavirus, which emerged from China, increases amid the lockdown.",Simrin Sirur ," 25 March, 2020"
"Central govt staff can work from home during lockdown, but will have to follow these rules","Samyak Pandey - 25 March, 2020","MeitY order says decision to allow work from home aims to protect employees from contracting infection, but maintaining productivity is non-negotiable.",Samyak Pandey ," 25 March, 2020"
"5 test positive for coronavirus in Indore, Maharashtra each","PTI - 25 March, 2020","The five new Covid-19 patients in Indore, which include three men and two women, had no travel history outside India.",PTI ," 25 March, 2020"
West Bengal blood banks run dry due to lockdown,"PTI - 25 March, 2020","The nationwide lockdown has forced blood donation camps, which provide blood to more than 108 banks in the state, to shut down due to the pandemic.",PTI ," 25 March, 2020"
This is how Modi govt plans to help MGNREGA workers during Covid-19 lockdown,"Moushumi Das Gupta - 25 March, 2020",States and UTs told to focus on individual asset creation under MGNREGA that requires 4-5 workers and allows for social distancing. DBT payments to be expedited.,Moushumi Das Gupta ," 25 March, 2020"
Desi sex and porn for women — how Indians stuck at home are indulging their secret desires,"Regina Mihindukulasuriya - 25 March, 2020","According to data collected by adult entertainment site xHamster, Indians have started watching nearly 20 per cent more porn during the COVID-19 lockdown.",Regina Mihindukulasuriya ," 25 March, 2020"
"Inside the Srinagar control room, which is trying to keep coronavirus at bay in J&K","Azaan Javaid - 25 March, 2020",J&K officials say 400-500 calls alerting about people with travel history have been received in the past week. Over 50 people have been traced and quarantined.,Azaan Javaid ," 25 March, 2020"
Use hydroxychloroquine with caution: ICMR warns amid confusion over use of drug for Covid-19,"Swagata Yadavar - 25 March, 2020","ICMR epidemiology chief Raman Gangakhedkar calls hydroxychloroquine usage ‘experimental’, says it should not be used without doctor's supervision.",Swagata Yadavar ," 25 March, 2020"
"Spreading fake news, rumours on Covid-19 can land you in jail for a year","Apoorva Mandhani - 25 March, 2020","In its lockdown order, National Disaster Management Authority has referred to Section 54 of Disaster Management Act 2005, which proposes jail time for those causing ‘false alarms’.",Apoorva Mandhani ," 25 March, 2020"
"Exams or exercise, it’s all happening inside hostel rooms for IAS and IPS trainees","Sanya Dhingra - 25 March, 2020","The steps come amid greater govt push for social distancing, which is seen as the most effective way to check spread of COVID-19.",Sanya Dhingra ," 25 March, 2020"
"What stays open, restrictions, other guidelines to know about nationwide Covid-19 lockdown","Ananya Bhardwaj - 25 March, 2020","ThePrint breaks down the government's guidelines on the 21-day lockdown announced by PM Modi, which began Wednesday.",Ananya Bhardwaj ," 25 March, 2020"
"Paracetamol, chloroquine & Google translator: How Medanta treated Italians with coronavirus","Himani Chandna - 25 March, 2020","Of the 14 Italian tourists who tested positive for coronavirus early in March, 11 have been discharged while two others have tested negative.",Himani Chandna ," 25 March, 2020"
Modi govt bans export of malaria drug hydroxychloroquine as Covid-19 demand surges,"Jeff Sutherland - 25 March, 2020","Although there is no conclusive scientific evidence that hydroxychloroquine can treat Covid-19, US hospitals and consumers have begun stockpiling it.",Jeff Sutherland ," 25 March, 2020"
"RSS founder Hedgewar was with Congress, and other facts you didn’t know","Arun Anand - 25 March, 2020","Keshav Baliram Hedgewar was born in 1889 and died in 1940. His birth anniversary this year, according to the Hindu calendar, falls on 25 March.",Arun Anand ," 25 March, 2020"
"Homeless with no income, migrant labourers wish they had left Delhi before the lockdown","Samyak Pandey - 25 March, 2020","COVID-19 lockdown in Delhi has dried up income for rickshaw-pullers and street vendors, leaving them without money and with no way to get home.",Samyak Pandey ," 25 March, 2020"
"Home Ministry issues 21-day lockdown guidelines, essential services to remain functional","PTI - 24 March, 2020",The govt has also invoked Sections 51 to 60 of Disaster Management of Act which mandates up to 2 years of imprisonment if the guidelines are violated.,PTI ," 24 March, 2020"
"‘Stranded, facing eviction’ —  doctors, air hostesses harassed over coronavirus fear","Fiza Jha - 24 March, 2020",The Resident Doctors' Association of AIIMS wrote to Amit Shah Tuesday requesting action against harassment of medics in the wake of the coronavirus pandemic.,Fiza Jha ," 24 March, 2020"
Amit Shah tells Delhi Police to ensure security of doctors facing harassment over COVID-19,"PTI - 24 March, 2020",Shah's directive followed after he was informed about harassment of doctors by landlords who claimed coronavirus can be transmitted through the medical practitioners.,PTI ," 24 March, 2020"
"PM declares 21-day full lockdown across India from midnight, Rs 15,000 cr to fight COVID-19","Himani Chandna - 24 March, 2020","In his address to the nation Tuesday, PM Narendra Modi urged everyone to stay indoors. He said failure to take strict measures will take the country back by 21 years.",Himani Chandna ," 24 March, 2020"
"Amid COVID-19 crisis, preparations begin for construction of Ram Temple in Ayodhya","Neelam Pandey - 24 March, 2020","The trust entrusted with the task has decided to shift the Ram Lalla idol from its current site, at 4 am tomorrow, paving the way for the construction of the temple.",Neelam Pandey ," 24 March, 2020"
"COVID-19 fear, cylinder bombs, hidden arms  —  how inmates at Bengal prison unleashed mayhem","Madhuparna Das - 24 March, 2020","Alleged resentment over COVID-19-related restrictions triggered 2 days of violence at Dum Dum jail, leading to 4 deaths. But police suspect a bigger conspiracy.",Madhuparna Das ," 24 March, 2020"
"India will see COVID-19 community transmission but these steps can help, says ICMR study","Swagata Yadavar - 24 March, 2020","ICMR paper offers 2 scenarios — optimistic and pessimistic — to present its projections of the spread of coronavirus in Delhi, Mumbai, Bengaluru and Kolkata.",Swagata Yadavar ," 24 March, 2020"
"Delhi, Hong Kong, Chile — how mass protests have changed shape after coronavirus outbreak","Pia Krishnankutty - 24 March, 2020","Hong Kong pro-democracy protests reduced to small flare-ups, Chileans are banging pots and pans from balconies in unified protest against inequality.",Pia Krishnankutty ," 24 March, 2020"
Pets shouldn’t die inside shops in COVID-19 lockdown: Animal welfare board to state govts,"Sanya Dhingra - 24 March, 2020",The letter by Animal Welfare Board of India came a day after it wrote another Monday urging all states to ensure animal fodder is made available across states.,Sanya Dhingra ," 24 March, 2020"
PM Modi urges people to keep up their fighting spirits as coronavirus cases cross 500 mark,"PTI - 24 March, 2020","With the lockdown hitting the industry, Finance Minister Nirmala Sitaraman also said an economic package to help tide over the crisis will be announced very soon.",PTI ," 24 March, 2020"
Kashmiri students stuck in Bangladesh won’t be brought back to India,"Nayanima Basu - 24 March, 2020","Indian government to strictly follow restrictions in movement from across borders, stranded students to be told to go back to hostels.",Nayanima Basu ," 24 March, 2020"
"Art installations at Shaheen Bagh, Jamia removed by Delhi Police, graffiti painted white","Fatima Khan - 24 March, 2020",Delhi Police dispersed protestors at Shaheen Bagh and Jamia Millia Islamia Tuesday morning after the govt imposed total lockdown because of coronavirus outbreak.,Fatima Khan ," 24 March, 2020"
Himachal Pradesh govt announces indefinite curfew to prevent spread of COVID-19,"PTI - 24 March, 2020",Chief Minister Jai Ram Thakur said the govt was forced to take the step as several people were not following the lockdown imposed in the state on Monday.,PTI ," 24 March, 2020"
Railways to pay full salaries to contractual workers during suspension of services,"PTI - 24 March, 2020","In an order issued Tuesday, the railways said due to prevailing coronavirus situation in India and the stoppage of trains, several contractual staff have been stranded.",PTI ," 24 March, 2020"
"Funeral of Bengal’s COVID-19 patient triggers protest, 16 people arrested","Madhuparna Das - 24 March, 2020","Residents near Nimtala crematorium in north Kolkata protest, saying cremation will spread coronavirus. Cremation takes place at midnight after police intervene.",Madhuparna Das ," 24 March, 2020"
"Govt directs states, UTs to transfer funds to labourers day after Sonia writes to PM","Taran Deol - 24 March, 2020","In a letter to PM Narendra Modi, Congress chief Sonia Gandhi called for emergency welfare measures for labourers, including a wage subsidy.",Taran Deol ," 24 March, 2020"
"Three more test positive for COVID-19 in Telangana, total cases rise to 36","PTI - 24 March, 2020","The three new cases are of people with travel history to London, Germany and Saudi Arabia.",PTI ," 24 March, 2020"
"Women safety, communal harmony, own state board – takeaways from AAP’s Delhi budget 2020-21","Aneesha Bedi - 24 March, 2020",The Delhi budget 2020-21 was presented Monday by Deputy CM & Finance Minister Manish Sisodia. One-fourth of the budget has been allocated to education.,Aneesha Bedi ," 24 March, 2020"
"Allow transport of eggs, meat, animal feed during COVID-19 lockdown: Ministry to states, UTs","Neelam Pandey - 24 March, 2020","In letter to chief secretaries, Ministry of Fisheries, Animal Husbandry and Dairying says eggs, meat & animal feed must be included in list of commodities exempted from the lockdown.",Neelam Pandey ," 24 March, 2020"
Centre urges people to follow rules as coronavirus spreads to families of foreign returnees,"PTI - 24 March, 2020","MoS for Home Affairs G Kishan Reddy said out of 15.24 lakh screened at airports, 69,436 have been home quarantined and treated by medical, paramedical officers.",PTI ," 24 March, 2020"
Uttar Pradesh govt extends lockdown to entire state to battle coronavirus,"PTI - 24 March, 2020",Seventeen of Uttar Pradesh's 75 districts that have reported positive cases of coronavirus are already under lockdown since 23 March.,PTI ," 24 March, 2020"
Forgery case against Jyotiraditya Scindia & family closes after his switch to BJP,"PTI - 24 March, 2020","On 12 March, the Economic Offences Wing decided to probe the complaint against Scindia allegedly indulging in wrongdoing while selling land in Gwalior in 2009.",PTI ," 24 March, 2020"
"3 days left for NEET admit cards, no decision on postponement of exam yet","Kritika Sharma - 24 March, 2020","While boards exams and entrance tests, including JEE, have been postponed, there is no word yet on the NEET exam that is scheduled for 3 May.",Kritika Sharma ," 24 March, 2020"
India has enough food to feed its poor if there is a prolonged shutdown,"Siddhartha Singh - 24 March, 2020","India will have 100 million tons of grains by April-end, compared with annual requirement of 50-60 million tons under welfare schemes for the poor.",Siddhartha Singh ," 24 March, 2020"
"Defence veterans can buy April medicines from any chemist store, will be reimbursed","Amrita Nayak Dutta - 24 March, 2020",New directive says armed forces veterans can buy month’s requirement of medicines from any chemist store. Move aims to ease crowding at ECHS polyclinics amid coronavirus outbreak.,Amrita Nayak Dutta ," 24 March, 2020"
"65-year-old coronavirus patient dies in Mumbai, death toll rises to 10 in India","PTI - 24 March, 2020","The man, who recently returned from the UAE, complained of fever, cough and difficulty in breathing and was brought to Mumbai from Ahmedabad for treatment.",PTI ," 24 March, 2020"
"Woman in Manipur tests positive for coronavirus, first case in Northeast","PTI - 24 March, 2020",The 23-year-old woman had recently returned from the UK to Imphal via Delhi and Guwahati airports.,PTI ," 24 March, 2020"
PM Modi to address nation at 8 PM Tuesday on coronavirus outbreak,"PTI - 24 March, 2020","The Prime Minister had addressed the nation on efforts to combat the pandemic on 19 March, after which India has reported nearly 500 cases of coronavirus.",PTI ," 24 March, 2020"
No dip in candidates who want to join armed forces but here’s why fewer made it since 2017,"Amrita Nayak Dutta - 24 March, 2020","While number of applicants for defence-qualifying exams have remained nearly constant, there is a decline in the number of academically sound candidates.",Amrita Nayak Dutta ," 24 March, 2020"
When and how people can move around in Delhi during coronavirus curfew,"Ananya Bhardwaj - 24 March, 2020","ThePrint tells you what are the restrictions on movement, both within Delhi and between the capital and neighbouring areas, and how to get about when you need to.",Ananya Bhardwaj ," 24 March, 2020"
"Omar Abdullah released after 8 months in detention, PSA charges revoked","PTI - 24 March, 2020",Former Jammu & Kashmir CM Omar Abdullah was taken into custody after the Centre announced it was scrapping Article 370 last August. He was charged under PSA this February.,PTI ," 24 March, 2020"
"Ensure print, electronic media operate smoothly during lockdown: I&B ministry to states, UTs","Revathi Krishnan - 24 March, 2020","In letter to states and UTs, I&B ministry says proper functioning of media is required to create awareness, provide vital information and prevent spread of fake news.",Revathi Krishnan ," 24 March, 2020"
"RSS gets ready to fight coronavirus with awareness campaign, masks, soaps & food packets","Arun Anand - 24 March, 2020","RSS has asked around 70,000 of its daily units and over three dozen affiliates to prioritise the fight against coronavirus.",Arun Anand ," 24 March, 2020"
Delhi Police clears Shaheen Bagh protest site amid coronavirus threat,"Fatima Khan - 24 March, 2020","Shaheen Bagh had become the heart of the anti-Citizenship Amendment Act protests since 15 December last year, days after the law was passed by Parliament.",Fatima Khan ," 24 March, 2020"
US FDA lifts curbs on India’s Ipca Labs to source malaria drug for COVID-19 treatment,"Ari Altstedter - 24 March, 2020",Ipca Laboratories has been allowed to supply tablets as well as raw materials for making chloroquine phosphate & hydroxychloroquine sulphate.,Ari Altstedter ," 24 March, 2020"
"Hotstar, Netflix urged to stop ads, HD content as coronavirus lockdown overloads internet","Regina Mihindukulasuriya - 24 March, 2020",Telecom industry tells 11 streaming platforms it is experiencing pressure and wants them to use data as minimally and efficiently as possible.,Regina Mihindukulasuriya ," 24 March, 2020"
"WhatsApp, Google Hangouts, email — schools, colleges go digital to beat COVID-19 disruption","Kritika Sharma - 24 March, 2020","Schools and colleges across India have been shut down until at least 31 March due to the COVID-19 pandemic, with several institutes calling off or postponing exams.",Kritika Sharma ," 24 March, 2020"
"Delhi Police seals border, essential services to seek curfew passes","PTI - 23 March, 2020","Traffic police, PCR, station house officers and their supervising officers shall move around to inspect the arrangements and ensure compliance of the order.",PTI ," 23 March, 2020"
States can collect foodgrains from FCI on credit to ensure supply amid COVID-19 threat,"Remya Nair - 23 March, 2020","The govt has allowed this for 3 months to ensure people, especially from lower income strata, have enough foodgrains, as India battles the coronavirus threat.",Remya Nair ," 23 March, 2020"
"Haryana extends lockdown to entire state to curb COVID-19, accords financial aid to poor","PTI - 23 March, 2020","A day after putting seven districts of the state under lockdown, the Haryana government decided Monday to extend the lockdown to the remaining districts.",PTI ," 23 March, 2020"
Rs 20 for each Delhi resident — what AAP govt budget outlines to fight COVID-19 pandemic,"Aneesha Bedi - 23 March, 2020","Deputy Delhi CM Manish Sisodia, who holds the finance portfolio, announced an 'initial allocation' of Rs 50 crore for COVID-19.",Aneesha Bedi ," 23 March, 2020"
Domestic flights suspended from Tuesday midnight to 31 March,"PTI - 23 March, 2020","Union Civil Aviation Ministry said cargo flights, aircraft or helicopter operated on behalf of a state govt or UT are exempted from the flying ban.",PTI ," 23 March, 2020"
MHA asks states to take action against those harassing people from Northeast over COVID-19,"PTI - 23 March, 2020","The Union Home Ministry's communication comes a day after a Manipuri woman alleged that an man spat on her and called her 'corona' in Vijay Nagar, New Delhi.",PTI ," 23 March, 2020"
"PMO, Yogi govt upset with Pilibhit SP, DM for defying janata curfew, could take action soon","Sanya Dhingra - 23 March, 2020","Sources in the Chief Minister’s Office said the UP govt is planning to take action against them, however, it would wait till the situation normalises.",Sanya Dhingra ," 23 March, 2020"
Don’t cut salaries or fire workers during lockdown  — Modi govt issues advisory,"Sanya Dhingra - 23 March, 2020","Advisory says public and private enterprises should try not to terminate the services or reduce the wages of their employees, particularly casual or contractual workers.",Sanya Dhingra ," 23 March, 2020"
Valley leaders cite coronavirus to seek release of Kashmiris detained in jails outside J&K,"Azaan Javaid - 23 March, 2020",NC's Anantnag MP Hasnain Masoodi and Mehbooba Mufti's daughter Iltija have sought revocation of detention orders against Kashmiris lodged in jails since August 2019.,Azaan Javaid ," 23 March, 2020"
Bihar CM Nitish Kumar announces free ration for cardholders during coronavirus lockdown,"PTI - 23 March, 2020",Nitish Kumar also said that scholarship to students of class I to 12 will be transferred in their accounts by 31 March.,PTI ," 23 March, 2020"
"Bengal has only 40 COVID-19 testing kits, flagged issue to PM Modi last week: CM Mamata","Madhuparna Das - 23 March, 2020","At all-party meeting, leaders ask CM Mamata Banerjee to step up testing for the coronavirus. She says 90 kits sanctioned by ICMR haven’t arrived.",Madhuparna Das ," 23 March, 2020"
Karnataka Congress MLA defies janata curfew to host son’s engagement,"Rohini Swamy - 23 March, 2020","Belagavi Rural MLA Laxmi Hebbalkar said the engagement was ‘unavoidable’ as the date had been fixed months ago. Only 35 guests attended, she added.",Rohini Swamy ," 23 March, 2020"
"Govt notifies land use change for Rs 20,000-crore Delhi power corridor revamp plan","Moushumi Das Gupta - 23 March, 2020","Over 86-acre area currently earmarked for recreational or public and semi-public facilities will now be used to build new Parliament House, other govt buildings.",Moushumi Das Gupta ," 23 March, 2020"
Observe the lockdown or face strict action: Delhi CM Arvind Kejriwal,"PTI - 23 March, 2020",Arvind Kejriwal also announced that 50 per cent of the DTC buses will be operational from Tuesday to ensure those involved in essential services do not face problems.,PTI ," 23 March, 2020"
"Veterinary services must go on, animals can’t suffer during COVID-19, Modi govt tells states","Sanya Dhingra - 23 March, 2020",Government has urged veterinarians and other related officials to ensure strict personal hygiene and avoid public gatherings.,Sanya Dhingra ," 23 March, 2020"
RJD leader Tejashwi Prasad Yadav offers official bungalow as quarantine camp,"PTI - 23 March, 2020",Tejashwi Prasad Yadav also offered to donate a month's salary to the chief minister's relief fund to help those in need in the wake of coronavirus crisis.,PTI ," 23 March, 2020"
"Eyes were burning from the paan, says Manipuri girl called ‘corona’ by Delhi man who spat on her","Pia Krishnankutty - 23 March, 2020",Chongtham Rameshwori was returning home in North Campus area after buying groceries when a man spat on her.,Pia Krishnankutty ," 23 March, 2020"
West Bengal records first coronavirus death as 57-year-old man dies,"PTI - 23 March, 2020",The patient had no recent travel history of going abroad but had visited Bilaspur in Chhattisgarh last month. He was at a private hospital in Kolkata since 16 February.,PTI ," 23 March, 2020"
R0 to zoonoses — decoding coronavirus jargon to help you understand the news better,"Revathi Krishnan - 23 March, 2020","As coverage on COVID-19 gets more scientific, here's a handy glossary of often-used technical terms.",Revathi Krishnan ," 23 March, 2020"
‘Indians not taking the virus seriously’ — Microbiologists Society urges PM Modi to extend Janata Curfew,"Revathi Krishnan - 23 March, 2020","In a letter to PM Modi, Microbiologists Society president Dr A.M. Deshmukh India will have no new coronavirus case if Janata Curfew continues for 2 weeks.",Revathi Krishnan ," 23 March, 2020"
Day 1 of COVID-19 lockdown in India — here’s what’s happening in your state,"ThePrint Team - 23 March, 2020","Punjab imposes state-wide curfew, other states crack down on people violating lockdown. Essential services personnel being allowed after ID checks.",ThePrint Team ," 23 March, 2020"
"Jamia, Hauz Rani, Mumbai Bagh: Coronavirus forces anti-CAA organisers to suspend protests","Fatima Khan - 23 March, 2020","Started over two months ago, many of these anti-CAA protests have now been called off, urging people to change the mode of resistance.",Fatima Khan ," 23 March, 2020"
"Twelve new coronavirus cases reported in Gujarat, total rises to 30","PTI - 23 March, 2020","Out of the 12 cases reported Monday, five are of local transmission, while others have history of travel to Saudi Arabia, Sri Lanka, France and the UK.",PTI ," 23 March, 2020"
"PM’s wife, ministers, officials — how coronavirus is travelling though corridors of power","Srijan Shukla - 23 March, 2020","From Canadian PM's wife to health minister in Britain to Spain's first family, the world's most powerful people are getting infected with the coronavirus.",Srijan Shukla ," 23 March, 2020"
"Amitabh Bachchan tweets, then deletes fake information on COVID-19","Sandhya Ramesh - 23 March, 2020","Amitabh Bachchan said viruses are potent during the new moon, and making noise destroys them. The tweet was almost wholly factually incorrect.",Sandhya Ramesh ," 23 March, 2020"
"Delhi High Court, district courts suspend operations till 4 April as COVID-19 cases grow","PTI - 23 March, 2020",The High Court said only matters of extreme urgency will be placed before the registrar or joint registrar telephonically and hearing will take place through video conferencing.,PTI ," 23 March, 2020"
Here’s how not following govt orders on COVID-19 can land you in jail,"Apoorva Mandhani - 23 March, 2020","Several states and 80 cities are under lockdown as central and state govts issue orders to help prevent spread of coronavirus. And if you don’t obey, this is what could happen.",Apoorva Mandhani ," 23 March, 2020"
Lok Sabha passes Finance Bill without discussion,"PTI - 23 March, 2020","The govt said it was an 'extraordinary situation', a reference to the coronavirus pandemic, as Finance Minister Nirmala Sitharaman tabled the bill for passage.",PTI ," 23 March, 2020"
Lok Sabha session ends 12 days before schedule as coronavirus puts India under lockdown,"Moushumi Das Gupta - 23 March, 2020",Crucial Finance Bill passed before Lok Sabha adjournment. Move comes amid opposition demands to cut session short as India sees a spike in coronavirus cases.,Moushumi Das Gupta ," 23 March, 2020"
"Vedanta chairman Anil Agarwal pledges Rs 100 cr to COVID-19 cause, says many face uncertainty","Pia Krishnankutty - 23 March, 2020","Agarwal joins Anand Mahindra, Bill Gates and Jack Ma in the list of billionaires who are donating millions of dollars towards fighting coronavirus.",Pia Krishnankutty ," 23 March, 2020"
‘Mother India’ Heeraben — BJP leaders hail PM’s mother for supporting coronavirus warriors,"Revathi Krishnan - 23 March, 2020","In a viral video, Prime Minister Narendra Modi's mother Heeraben can be seen clanging a thaali in support of those fighting against the coronavirus pandemic.",Revathi Krishnan ," 23 March, 2020"
Audio message from drones — how J&K is asking people to stay home during COVID-19 lockdown,"Azaan Javaid - 23 March, 2020",J&K administration that announced complete lockdown Sunday deployed the drones Monday after noticing some people walking around Srinagar.,Azaan Javaid ," 23 March, 2020"
Goa government extends janta curfew till 25-26 March,"PTI - 23 March, 2020","In order to effectively implement the extension, the state govt has declared a three-day holiday for government and private sector including banks.",PTI ," 23 March, 2020"
"Rajasthan’s COVID-19 headache — travellers skip screening, suspected cases flee quarantine","Sanjay Bohra - 23 March, 2020",The state has had to grapple with travellers from affected countries heading home straight from Delhi while some in isolation have fled their wards.,Sanjay Bohra ," 23 March, 2020"
"Modi govt assesses chloroquine stock, a potential COVID-19 drug, as it awaits WHO results","Himani Chandna - 23 March, 2020","Modi govt has asked national drug regulator for a report on chloroquine availability in India. However, there isn't enough scientific evidence on whether it helps cure COVID-19.",Himani Chandna ," 23 March, 2020"
Budget to be presented in Delhi Legislative Assembly today despite lockdown,"ANI - 23 March, 2020",Chief Minister Arvind Kejriwal said budget will be presented in the assembly as the govt needs the House's approval to spend money in the forthcoming financial year.,ANI ," 23 March, 2020"
Social distancing is a luxury Indians earning just Rs 150 a day cannot afford,"Bibhudatta Pradhan - 23 March, 2020",Quandary facing India’s informal workforce is one of starkest examples of how social inequality threatens to undermine virus containment efforts around the world.,Bibhudatta Pradhan ," 23 March, 2020"
‘Can’t ensure functioning mess’ — 150 IRS trainees told to leave Nagpur academy amid lockdown,"Sanya Dhingra - 23 March, 2020",IRS trainees at National Academy of Direct Taxes in Nagpur say their leave requests weren’t heard earlier when transport was available. Official says order not mandatory.,Sanya Dhingra ," 23 March, 2020"
Number of COVID-19 cases in Delhi now at 30: Delhi Health Department,"PTI - 23 March, 2020","Out of the total 30 cases, five were discharged, one died earlier and one migrated out of the country, the Health Department said in a statement.",PTI ," 23 March, 2020"
"3 of 4 top posts vacant at DU, an Institution of Eminence, but V-C says doesn’t affect work","Kritika Sharma - 23 March, 2020","Members of the faculty and DU Executive Council say the vacancies are taking a toll on functioning, affecting a number of things from promotions to pensions.",Kritika Sharma ," 23 March, 2020"
"Ola, Uber suspend services in Delhi till 31 March as city goes under lockdown","PTI - 23 March, 2020","To prevent the spread of COVID-19, Delhi govt put the city under lockdown till 31 March. Public transport like buses, taxis, and autos have been suspended.",PTI ," 23 March, 2020"
India locks down to prevent COVID-19 spread — here are restrictions imposed in your state,"ThePrint Team - 22 March, 2020","Central govt announces a lockdown in 80 districts, suspends passenger trains, buses and metros. State govts come out with their own respective measures.",ThePrint Team ," 22 March, 2020"
List of 80 districts where government announced complete lockdown from Sunday,"ThePrint Team - 22 March, 2020","The total number of COVID-19 cases in India rose to 387 Sunday, with the number of active cases at 329.",ThePrint Team ," 22 March, 2020"
