Headlines,Summaries,Author,Date,Day,Month,Year,Day_Of_Week,Result_Headline,Result_Summary,Positive_Headline,Neutral_Headline,Negative_Headline,Positive_Summary,Neutral_Summary,Negative_Summary,Result_Headline_negative,Result_Headline_neutral,Result_Headline_positive,Result_Summary_negative,Result_Summary_neutral,Result_Summary_positive
2 member ahmedabad family ‘ die breathlessness ’ hospital doesn ’ t covid report,vishnu chavan died 7 day mother hospital exhibiting covid-like symptom family screened tested,Swagata Yadavar ,6/5/2020,5,6,2020,4,negative,negative,0.0,0.04,0.96,0.0,0.0,1.0,1,0,0,1,0,0
auto bursting passenger crowded market — hyderabad flouts social distancing norm,restriction eased 'unlock 1.0 ' people hyderabad went shopping visiting tourist spot flouting safety protocol,Suraj Singh Bisht ,6/5/2020,5,6,2020,4,neutral,neutral,0.01,0.78,0.21,0.2,0.75,0.05,0,1,0,0,1,0
crpf begin inquiry officer accused ip bias transferred,cadre officer ig-rank officer raised question transfer alleged different policy crpf ip,Sanya Dhingra ,6/5/2020,5,6,2020,4,negative,neutral,0.0,0.1,0.9,0.0,0.66,0.34,1,0,0,0,1,0
choked anurag kashyap ’ s netflix film demonetisation crisp thought-provoking,choked anurag kashyap brings stellar writing talented cast & signature dark style talk relationship money,Madhavi Pothukuchi ,6/5/2020,5,6,2020,4,negative,positive,0.25,0.02,0.73,0.47,0.24,0.29,1,0,0,0,0,1
india build boat sail rough covid crisis water know,govt need prepare detail eventuality seek refuge ‘ uncertainty ’ trust seek active public support,Manjunath Shankar ,6/5/2020,5,6,2020,4,negative,neutral,0.0,0.05,0.95,0.22,0.67,0.11,1,0,0,0,1,0
masked waiter touching temple idol — govt lay ‘ unlock 1 ’ rule,issued health ministry sop outline specific precautionary measure adopted prevent spread coronavirus,ThePrint Team ,6/4/2020,4,6,2020,3,neutral,neutral,0.02,0.81,0.17,0.0,1.0,0.0,0,1,0,0,1,0
zuckerberg us kapil mishra ’ s ‘ delhi riot threat ’ outline facebook ’ s hate speech policy,zuckerberg kapil mishra referred bjp leader threat vigilante action caa protester post taken facebook,Bismee Taskin ,6/4/2020,4,6,2020,3,negative,negative,0.0,0.0,1.0,0.0,0.24,0.76,1,0,0,1,0,0
icmr release list antibody detection kit sero-surveys covid-19,igg elisa kit indigenous kit recommended sero-surveys understand proportion population exposed covid-19 including asymptomatic individual,PTI ,6/4/2020,4,6,2020,3,neutral,neutral,0.0,1.0,0.0,0.02,0.98,0.0,0,1,0,0,1,0
elephant death ‘ inhumane ’ modi govt asks kerala identify officer acted irresponsibly,calling case negligence environment ministry asked kerala govt look matter priority & nab culprit immediately,Sanya Dhingra ,6/4/2020,4,6,2020,3,negative,negative,0.0,0.0,1.0,0.01,0.06,0.93,1,0,0,1,0,0
maharashtra cm asks damage report cyclone nisarga 2 day,people died maharashtra cyclone-related incident 16 injured cattle killed said statement chief minister office,PTI ,6/4/2020,4,6,2020,3,negative,negative,0.0,0.02,0.98,0.0,0.0,1.0,1,0,0,1,0,0
r mouthpiece rake china ’ s tiananmen square massacre border standoff continues,editorial ‘ organiser ’ say china ‘ shamelessly ’ defending irresponsible behaviour 'hiding covid pandemic ' global backlash,Shanker Arnimesh ,6/4/2020,4,6,2020,3,neutral,negative,0.0,0.81,0.19,0.0,0.03,0.97,0,1,0,1,0,0
govt transfer crpf officer list ‘ swadeshi ’ item removed capf canteen,"crpf officer issued order junking 1,000 product firm dabur vip nestle capf canteen order later hold",Sanya Dhingra ,6/4/2020,4,6,2020,3,neutral,neutral,0.0,0.99,0.01,0.0,0.99,0.01,0,1,0,0,1,0
shashi tharoor approach delhi hc direct police preserve sunanda pushkar ’ s tweet,application said twitter timeline pushkar important case & alive apprehension account deleted,PTI ,6/4/2020,4,6,2020,3,neutral,neutral,0.0,1.0,0.0,0.03,0.52,0.45,0,1,0,0,1,0
20 hindu named fresh delhi riot charge sheet killing 2 muslim brother,delhi police filed charge sheet thursday police said accused men formed whatsapp group spoke ‘ taking revenge muslim ’,Ananya Bhardwaj ,6/4/2020,4,6,2020,3,negative,negative,0.0,0.01,0.99,0.0,0.0,1.0,1,0,0,1,0,0
"mha blacklist 2,550 foreign tablighi jamaat member ban entry 10 year",action taken state govts provided detail foreigner found illegally living mosque & religious seminary,PTI ,6/4/2020,4,6,2020,3,negative,negative,0.0,0.32,0.68,0.01,0.16,0.83,1,0,0,1,0,0
senior ia officer pmo appointed world bank world trade organisation,ia officer rajiv topno serve senior advisor world bank brajendra navnit ambassador permanent mission india ( pmi ) wto,Sanya Dhingra ,6/4/2020,4,6,2020,3,neutral,neutral,0.01,0.99,0.0,0.0,1.0,0.0,0,1,0,0,1,0
weakened cyclone nisarga likely enter mp thursday southern state imd,result cyclone part madhya pradesh received rainfall wednesday likely continue thursday official said,PTI ,6/4/2020,4,6,2020,3,negative,neutral,0.01,0.06,0.93,0.02,0.67,0.31,1,0,0,0,1,0
yogi govt completes skill-mapping 23.5 lakh migrant worker 18 lakh want job,govt survey say 77 % 23.5 lakh migrant worker want stay work state 2 june total 16.6 lakh unskilled labourer,Prashant Srivastava ,6/4/2020,4,6,2020,3,neutral,neutral,0.05,0.94,0.01,0.0,0.98,0.02,0,1,0,0,1,0
‘ all-pet ’ private jet costing r 1.6 lakh seat set fly delhi mumbai,25-year-old deepika singh started initiative hired six-seater private jet transport stranded pet,Tarun Krishna ,6/4/2020,4,6,2020,3,neutral,neutral,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0
mumbai begin walk jog way lockdown cyclone nisarga give miss,uddhav thackeray government work bring city lockdown citizen allowed step physical activity,Manasi Phadke ,6/4/2020,4,6,2020,3,neutral,neutral,0.05,0.9,0.05,0.02,0.94,0.04,0,1,0,0,1,0
people medical emergency enter delhi e-pass aap govt tell hc,taking note govt submission court disposed plea seeking immediate de-sealing delhi border enable citizen ncr access hospital,PTI ,6/4/2020,4,6,2020,3,neutral,neutral,0.01,0.91,0.08,0.02,0.94,0.04,0,1,0,0,1,0
delhi govt ’ s entire focus saving life covid-19 crisis say manish sisodia,joint press conference delhi heath minister satyendar jain deputy cm sisodia urged asymptomatic covid-19 patient remain home isolate,PTI ,6/4/2020,4,6,2020,3,negative,neutral,0.06,0.16,0.78,0.0,1.0,0.0,1,0,0,0,1,0
modi govt want college university help study ayush practice covid-19,ugc circular instructed college university faculty student download ‘ ayush sanjivani ’ app,Kritika Sharma ,6/4/2020,4,6,2020,3,neutral,neutral,0.04,0.96,0.0,0.0,1.0,0.0,0,1,0,0,1,0
lockdown flattened wrong curve — gdp instead covid rajiv bajaj tell rahul gandhi,virtual interaction rahul gandhi bajaj motor md rajiv bajaj said india turned west instead looking east lockdown model,Fatima Khan ,6/4/2020,4,6,2020,3,negative,neutral,0.0,0.0,1.0,0.01,0.98,0.01,1,0,0,0,1,0
lucknow-mumbai express special train lifeline migrant heading work,"pushpak express transported 1,000 passenger 1 june including migrant white-collar worker waiting work amid lockdown",Oliver Fredrick ,6/4/2020,4,6,2020,3,neutral,neutral,0.01,0.96,0.03,0.0,0.94,0.06,0,1,0,0,1,0
health ministry shuts office 2 day issue guideline covid case rise staffer,health ministry issued office memorandum strictly list social distancing measure do don'ts employee advised look report symptom,Himani Chandna ,6/4/2020,4,6,2020,3,neutral,neutral,0.02,0.93,0.05,0.01,0.9,0.09,0,1,0,0,1,0
‘ feel like criminal ’ mumbai doctor angry civic body ’ s strict covid test rule,bmc guideline doctor physically check patient prescribing test failing stand lose licence,Angana Chakrabarti ,6/4/2020,4,6,2020,3,negative,negative,0.01,0.24,0.75,0.0,0.0,1.0,1,0,0,1,0,0
locked khaps junk tech distrust use zoom discus honour killing & couple eloping,dozen khap representative delhi haryana punjab rajasthan going online address social ill continue plague society,Jyoti Yadav ,6/4/2020,4,6,2020,3,negative,negative,0.0,0.02,0.98,0.0,0.17,0.83,1,0,0,1,0,0
herbal drug rice & dal ‘ swadeshi ’ patanjali go online amazon flipkart,website deliver variety product sold patanjali brand offer free online telemedicine service local language,Himani Chandna ,6/4/2020,4,6,2020,3,neutral,neutral,0.0,0.99,0.01,0.29,0.71,0.0,0,1,0,0,1,0
mask temperature check & long wait outside hospital — ahmedabad limping normal,shop opened people seen road ahmedabad number patient brought hospital rise,Soniya Agrawal ,6/4/2020,4,6,2020,3,negative,neutral,0.01,0.33,0.66,0.02,0.84,0.14,1,0,0,0,1,0
india face long hard journey return world-beating growth economist,blow lockdown fight coronavirus severe economist struggling forecast long india recover,Anirban Nag ,6/4/2020,4,6,2020,3,negative,negative,0.02,0.05,0.93,0.0,0.01,0.99,1,0,0,1,0,0
modi govt want private sector global space race ’ s isro happen,right private player boast delivering low-cost product service isro need widen customer base develop design capability,Narayan Prasad ,6/4/2020,4,6,2020,3,neutral,neutral,0.01,0.98,0.01,0.0,1.0,0.0,0,1,0,0,1,0
govt approves big agricultural reform ’ ll help farmer trade freely better price,union cabinet wednesday cleared amendment essential commodity act brought ordinance allow farmer sell produce,Samyak Pandey ,6/3/2020,3,6,2020,2,neutral,neutral,0.42,0.58,0.0,0.01,0.99,0.0,0,1,0,0,1,0
dead injured cyclone nisarga enters pune district,cyclone nisarga currently centered pune making landfall coastal raigad district maharashtra 1 pm,PTI ,6/3/2020,3,6,2020,2,negative,neutral,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,1,0
aap accuses rml hospital giving erroneous covid test result late submission report,aap spokesperson raghav chadha said delhi govt re-tested 30 sample rml declared covid-19 positive 12 found negative inconclusive,PTI ,6/3/2020,3,6,2020,2,negative,negative,0.0,0.0,1.0,0.0,0.02,0.98,1,0,0,1,0,0
india successful large extent containing covid-19 president kovind,telephonic conversation georgia president salome zourabichvili kovind said india extended medical supply support 150 country,PTI ,6/3/2020,3,6,2020,2,neutral,neutral,0.01,0.99,0.0,0.13,0.86,0.01,0,1,0,0,1,0
medium freedom bengal questioned abp editor quits mamata attack police summons,mamata hit ‘ anandabazar patrika ’ & police summoned editor anirban chattopadhyay 2-month-old case 27 didn ’ t meet police resigned,Madhuparna Das ,6/3/2020,3,6,2020,2,negative,neutral,0.03,0.17,0.8,0.01,0.55,0.44,1,0,0,0,1,0
"yogi adityanath stress increasing state ’ s covid-19 daily testing capacity 15,000",additional chief secretary said state set record country increasing hospital bed capacity lakh,PTI ,6/3/2020,3,6,2020,2,neutral,neutral,0.0,1.0,0.0,0.0,0.99,0.01,0,1,0,0,1,0
nitish hit state looking bihar migrant forcing leave home,under-fire opposition rjd election year nitish assures returning migrant govt provide mgnrega job need leave,Dipak Mishra ,6/3/2020,3,6,2020,2,negative,neutral,0.01,0.08,0.91,0.01,0.95,0.04,1,0,0,0,1,0
agridex india ’ s agricultural index trade commodity market,agridex launched 25 national commodity derivative exchange ( ncdex ) comprises 10 liquid commodity traded ncdex,Samyak Pandey ,6/3/2020,3,6,2020,2,neutral,neutral,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0
spoke mamata pro-vc appointment want lid issue governor dhankhar,state government & governor crossed sword tuesday jagdeep dhankhar appointed goutam chandra pro-vice-chancellor burdwan university,PTI ,6/3/2020,3,6,2020,2,neutral,neutral,0.04,0.67,0.29,0.0,1.0,0.0,0,1,0,0,1,0
shah faesal pdp leader released j & k revoke psa,sartaj madni j & k cm mehbooba mufti uncle legislator peer mansoor pdp leader released shah faesal,Azaan Javaid ,6/3/2020,3,6,2020,2,neutral,neutral,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0
cyclone nisarga make landfall close alibaug weaken reach mumbai,hour raigad adjoining area mumbai thane forecast face wind speed 90-100 kmph gusting 110 kmph,Manasi Phadke ,6/3/2020,3,6,2020,2,negative,neutral,0.01,0.16,0.83,0.0,1.0,0.0,1,0,0,0,1,0
delhi school owner touch radical muslim cleric pinjra tod plan riot police,chargesheet delhi riot case police said evidence rajdhani school owner conspired 'fundamental muslim cleric ' activist markaz member,Ananya Bhardwaj ,6/3/2020,3,6,2020,2,negative,negative,0.0,0.06,0.94,0.0,0.05,0.95,1,0,0,1,0,0
taking mitron google pull ‘ remove china apps ’ play store,tech giant app developer indicated reason suspending app ‘ free ’ app india,Unnati Sharma ,6/3/2020,3,6,2020,2,neutral,positive,0.0,0.99,0.01,0.56,0.34,0.1,0,1,0,0,0,1
delhi govt set committee strengthen hospital preparedness battle covid-19,5-member committee guide delhi government area strengthening infrastructure required manage pandemic better,PTI ,6/3/2020,3,6,2020,2,negative,neutral,0.01,0.39,0.6,0.28,0.7,0.02,1,0,0,0,1,0
tahir hussain planned ib staffer ankit sharma ’ s murder delhi police new chargesheet,delhi police filed second chargesheet suspended aap leader tahir hussain time attack ankit sharma found dead february riot,Ananya Bhardwaj ,6/3/2020,3,6,2020,2,negative,negative,0.0,0.4,0.6,0.0,0.01,0.99,1,0,0,1,0,0
aap ’ s sanjay singh send migrant home flight ticket mp ’ s quota,aap leader ’ s decision send migrant home ticket entitled mp annually praised delhi chief minister arvind kejriwal,PTI ,6/3/2020,3,6,2020,2,neutral,neutral,0.0,0.98,0.02,0.07,0.91,0.02,0,1,0,0,1,0
govt confirm chinese troop entered india rahul gandhi,congress leader asked govt come clean border standoff china tell country exactly happening,PTI ,6/3/2020,3,6,2020,2,neutral,positive,0.01,0.98,0.01,0.56,0.4,0.04,0,1,0,0,0,1
"mamata banerjee urge centre financially assist migrant worker r 10,000",west bengal chief minister tweeted portion pm care assist migrant labourer facing economic hardship covid-19 crisis,ANI ,6/3/2020,3,6,2020,2,neutral,negative,0.01,0.98,0.01,0.02,0.06,0.92,0,1,0,1,0,0
cyclone nisarga hit alibaug ‘ mumbai ’ s hampton ’ — home shah rukh ratan tata godrejs,alibaug tehsil raigad district 215 village lined sprawling beach mumbai ’ s rich famous bungalow luxurious villa,Manasi Phadke ,6/3/2020,3,6,2020,2,neutral,neutral,0.0,1.0,0.0,0.03,0.97,0.0,0,1,0,0,1,0
delhi containment zone 158 216 58 de-contained,"ministry health family welfare reported 22,132 coronavirus case delhi including 9,243 cured discharged",ANI ,6/3/2020,3,6,2020,2,neutral,neutral,0.0,1.0,0.0,0.01,0.99,0.0,0,1,0,0,1,0
chidambaram son karti got r 3cr inx invested vasan healthcare ed chargesheet,ed chargesheet claim chidambaram son karti sold share vasan healthcare profit r 41 crore,Ananya Bhardwaj ,6/3/2020,3,6,2020,2,neutral,neutral,0.29,0.55,0.16,0.01,0.92,0.07,0,1,0,0,1,0
"flush gone lockdown bengal assam tea industry face r 2,100 cr loss",loss come double whammy darjeeling started recovering loss 2017 violent gorkhaland agitation resultant 3-month-long shutdown,Madhuparna Das ,6/3/2020,3,6,2020,2,neutral,negative,0.0,0.98,0.02,0.0,0.01,0.99,0,1,0,1,0,0
harvard considers smaller class cancelling fall sport plan reopening,harvard decide student come preparing campus isolate hit virus,Janet Lorin ,6/3/2020,3,6,2020,2,negative,negative,0.01,0.33,0.66,0.0,0.11,0.89,1,0,0,1,0,0
fight brewing punjab demand haryana give space vidhan sabha building,bjp-ruled haryana demanded space december punjab congress govt refusing intends escalate matter ut administrator punjab governor,Chitleen K Sethi ,6/3/2020,3,6,2020,2,neutral,neutral,0.03,0.92,0.05,0.01,0.68,0.31,0,1,0,0,1,0
hindu samrajya diwas — r reviving forgotten chapter history,r celebrates anniversary shivaji ’ s coronation ‘ hindu samrajya diwas ’ day feat recalled song sung honour,Arun Anand ,6/3/2020,3,6,2020,2,neutral,neutral,0.08,0.9,0.02,0.14,0.86,0.0,0,1,0,0,1,0
chhattisgarh tribals community forest right activist welcome plan caution,chhattisgarh govt allow tribals manage exploit forest produce community level tribal affair department serve nodal agency,Prithviraj Singh ,6/3/2020,3,6,2020,2,neutral,neutral,0.15,0.8,0.05,0.02,0.95,0.03,0,1,0,0,1,0
2 jaish-e-mohammed militant killed encounter j & k ’ s pulwama,identity local militant revealed police new policy covid-19 lockdown,PTI ,6/2/2020,2,6,2020,1,negative,neutral,0.0,0.0,1.0,0.01,0.87,0.12,1,0,0,0,1,0
‘ work aren ’ t healthy ’ aiims nurse ’ union protest management,letter aiims ' director 29 union said 'extremely disturbed dismayed ' hospital 'state affair ' pandemic,Taran Deol ,6/2/2020,2,6,2020,1,positive,negative,0.43,0.28,0.29,0.0,0.01,0.99,0,0,1,1,0,0
music composer duo sajid-wajid ’ s mother test positive covid-19,razina khan admitted surana hospital chembur wajid khan undergoing treatment died cardiac arrest monday,PTI ,6/2/2020,2,6,2020,1,neutral,negative,0.12,0.87,0.01,0.0,0.0,1.0,0,1,0,1,0,0
j & k approves new medium policy create ‘ sustained ’ govt narrative thwart fake news,‘ medium policy-2020 ’ come backdrop j & k police filing fir journalist reporting social medium post,Azaan Javaid ,6/2/2020,2,6,2020,1,negative,neutral,0.0,0.01,0.99,0.0,0.96,0.04,1,0,0,0,1,0
school re-opening crisis return normal thing differently un,unesco unicef world bank come guideline re-opening school world,Kritika Sharma ,6/2/2020,2,6,2020,1,negative,neutral,0.0,0.0,1.0,0.01,0.99,0.0,1,0,0,0,1,0
pm modi speaks gujarat & maharashtra cm cyclone nisarga assures possible help,according india meteorological department ( imd ) cyclone nisarga cross north maharashtra south gujarat coast late wednesday evening,PTI ,6/2/2020,2,6,2020,1,neutral,neutral,0.16,0.84,0.0,0.0,1.0,0.0,0,1,0,0,1,0
45 % civil society leader ‘ ’ govt functionary accessible pandemic iim survey,survey conducted gather experience 66 civil society leader working covid-19 crisis,Unnati Sharma ,6/2/2020,2,6,2020,1,neutral,negative,0.04,0.9,0.06,0.0,0.03,0.97,0,1,0,1,0,0
munnabhai eid meme land 14 kashmiri scholar trouble srinagar nit ‘ halt fellowship ’,srinagar nit scholar shared meme making light fact eid coincided j & k pakistan fellow student found ‘ anti-national ’ & filed complaint,Azaan Javaid ,6/2/2020,2,6,2020,1,negative,negative,0.01,0.19,0.8,0.04,0.08,0.88,1,0,0,1,0,0
aap leader tahir hussain & pinjra tod named delhi police 2 riot charge sheet,delhi police jaffrabad incident reveals deep-rooted conspiracy cause riot claim 'link india hate group umar khalid ',Ananya Bhardwaj ,6/2/2020,2,6,2020,1,negative,negative,0.0,0.38,0.62,0.0,0.0,1.0,1,0,0,1,0,0
india far away peak covid-19 better placed fight nation govt,14 country cumulative population equal india reported 55.2 time covid death say lav agarwal joint secretary health ministry,PTI ,6/2/2020,2,6,2020,1,negative,negative,0.03,0.03,0.94,0.0,0.34,0.66,1,0,0,1,0,0
geo-mapping cctv camera ai — telangana police tech enforce covid safety,telangana claim state india use ai effective containment decision apply facial recognition technology stoked privacy concern,Aneesha Bedi ,6/2/2020,2,6,2020,1,neutral,neutral,0.01,0.98,0.01,0.18,0.44,0.38,0,1,0,0,1,0
jessica lal killer manu sharma walk tihar jail lg approves early release,manu sharma ’ s release cleared ‘ good conduct stay tihar contribution helping rehabilitate family underprivileged prisoner ’,Ananya Bhardwaj ,6/2/2020,2,6,2020,1,negative,positive,0.01,0.27,0.72,0.65,0.33,0.02,1,0,0,0,0,1
mumbai struggling covid crisis brace cyclone imd track nisarga,cyclone nisarga expected landfall 12 hour maharashtra working ensure people low-lying area make-shift covid facility moved safer location,Manasi Phadke ,6/2/2020,2,6,2020,1,negative,neutral,0.0,0.3,0.7,0.25,0.7,0.05,1,0,0,0,1,0
"covid-19 case uttarakhand near 1,000-mark death toll 7",41 people tested positive covid-19 uttarakhand tuesday dehradun registered highest number case 26 followed tehri 11,PTI ,6/2/2020,2,6,2020,1,negative,neutral,0.0,0.02,0.98,0.02,0.96,0.02,1,0,0,0,1,0
19 killed landslide triggered heavy rain assam,landslide occurred district hailakandi karimganj cachar assam barak valley tuesday morning,PTI ,6/2/2020,2,6,2020,1,negative,neutral,0.0,0.0,1.0,0.01,0.98,0.01,1,0,0,0,1,0
cyclone nisarga likely landfall 3 june impact mumbai imd,meteorological department forecast say cyclone nisarga likely turn 'severe cyclonic storm ' tuesday night,PTI ,6/2/2020,2,6,2020,1,neutral,negative,0.0,0.99,0.01,0.0,0.02,0.98,0,1,0,1,0,0
social distancing norm flouted ganga dussehra hundred gather buxar ghat,crowd thronged dozen ghat bihar ’ s buxar district festival amid pandemic buxar dm say people confused lockdown guideline,Tarun Krishna ,6/2/2020,2,6,2020,1,neutral,negative,0.01,0.97,0.02,0.01,0.28,0.71,0,1,0,1,0,0
ramdev sends ayurveda medicine quarantined uttarakhand cm rawat minister fight covid,uttarakhand cm trivendra singh rawat cabinet minister govt official went self-quarantine tourism minister satpal maharaj tested positive covid,Rahul Sampal ,6/2/2020,2,6,2020,1,negative,neutral,0.0,0.33,0.67,0.09,0.88,0.03,1,0,0,0,1,0
india second-largest mobile phone manufacturer world ravi shankar prasad,"2 factory 200 manufacturing unit india electronic manufacturing worth r 1,90,366 crore 2014 today r 4,58,000 crore prasad added",ANI ,6/2/2020,2,6,2020,1,neutral,neutral,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0
delhi cm kejriwal launch ‘ delhi corona ’ app help people track hospital bed,kejriwal said app fill information gap exists availability facility available covid patient updated twice day,PTI ,6/2/2020,2,6,2020,1,neutral,neutral,0.01,0.99,0.0,0.01,0.69,0.3,0,1,0,0,1,0
forensic expert gujarat riot case sc lawyer 6 handed shah delhi riot report,group ngo justice met home minister amit shah week blamed 'tukde-tukde gang ’ pinjra tod jamia coordination committee pfi riot,Fatima Khan ,6/2/2020,2,6,2020,1,negative,negative,0.0,0.07,0.93,0.0,0.05,0.95,1,0,0,1,0,0
centre seek dismissal plea declaration pm care fund bombay high court,petition arvind waghmare sought direction govt pm care appoint nominate member opposition party transparency,PTI ,6/2/2020,2,6,2020,1,neutral,neutral,0.19,0.76,0.05,0.22,0.66,0.12,0,1,0,0,1,0
bihar health department distributes condom migrant worker,health department official said lakh migrant labourer returning home counselled equipped tool avoid unwanted pregnancy,PTI ,6/2/2020,2,6,2020,1,neutral,negative,0.0,0.99,0.01,0.0,0.0,1.0,0,1,0,1,0,0
odisha launch online portal home delivery liquor,earlier state allowed home delivery liquor retailer food agency chose switch direct portal volume order rising,PTI ,6/2/2020,2,6,2020,1,neutral,neutral,0.0,0.99,0.01,0.01,0.95,0.04,0,1,0,0,1,0
‘ new class poor ’ emerging job loss lockdown 95.8 % bpl slum family hit study,covid lockdown affected primary source income led job loss poor find survey national institute urban affair slum 12 city,Moushumi Das Gupta ,6/2/2020,2,6,2020,1,negative,negative,0.0,0.11,0.89,0.0,0.08,0.92,1,0,0,1,0,0
frontline duty limited ppe ‘ low immunity ’ — mumbai police hit badly covid,"mumbai police personnel severely affected covid-19 infection 1,500 total positive case 16 death",Swagata Yadavar ,6/2/2020,2,6,2020,1,negative,negative,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,0,0
new way iits ass student graduate year,iits delhi gandhinagar bombay kharagpur roorkee come new way evaluation wake ‘ unprecedented circumstance ’,Kritika Sharma ,6/2/2020,2,6,2020,1,neutral,neutral,0.08,0.91,0.01,0.01,0.99,0.0,0,1,0,0,1,0
job lost lockdown pmo seek answer ministry,ministry commerce & industry heavy industry msmes textile asked furnish data unemployment 15 june,Sanya Dhingra ,6/2/2020,2,6,2020,1,negative,negative,0.02,0.03,0.95,0.0,0.09,0.91,1,0,0,1,0,0
fund transfer state set hit central tax collection begin dip,april central govt transferred cash based tax collection estimate actual collection falling short soon dip,Remya Nair ,6/2/2020,2,6,2020,1,neutral,negative,0.0,1.0,0.0,0.0,0.13,0.87,0,1,0,1,0,0
delhi govt soon launch web portal generate job,according official govt launch web portal company looking hire job seeker register requirement,PTI ,6/1/2020,1,6,2020,0,neutral,neutral,0.0,0.99,0.01,0.01,0.97,0.02,0,1,0,0,1,0
day unlock 1.0 – delhi shuts border street food vendor chhattisgarh,kerala ’ s border sealed maharashtra largely remains locked punjab reopened spa,Rohini Swamy ,6/1/2020,1,6,2020,0,neutral,neutral,0.0,0.99,0.01,0.01,0.94,0.05,0,1,0,0,1,0
bus equipped covid-19 test facility launch delhi conduct doorstep sampling,bus equipped ai-enabled thermal testing facility airtight separate cabin doctor technician facility contactless testing patient,PTI ,6/1/2020,1,6,2020,0,neutral,neutral,0.0,1.0,0.0,0.01,0.99,0.0,0,1,0,0,1,0
good monsoon rain expected mitigate impact coronavirus indian economy,good monsoon assumes greater significance year million lost livelihood stringent lockdown imposed stem coronavirus,Pratik Parija ,6/1/2020,1,6,2020,0,positive,positive,0.99,0.01,0.0,0.66,0.02,0.32,0,0,1,0,0,1
satpal maharaj 23 family & staff member test covid-positive cm rawat self-quarantine,"uttarakhand administration tizzy 3 minister self-quarantine 1,500 secretariat staff refuse come work",Neelam Pandey ,6/1/2020,1,6,2020,0,neutral,negative,0.04,0.95,0.01,0.0,0.22,0.78,0,1,0,1,0,0
haircut spa — delhi allow ‘ unlock 1 ’,delhi govt monday released guideline phase unlock plan allow activity permitted mha,Sravasti Dasgupta ,6/1/2020,1,6,2020,0,neutral,neutral,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0
dgca tell airline middle seat vacant wake coronavirus outbreak,flyer allotted middle seat 'additional protective equipment like wrap-around gown ministry textile approved standard ' according dgca order,PTI ,6/1/2020,1,6,2020,0,neutral,neutral,0.01,0.55,0.44,0.0,1.0,0.0,0,1,0,0,1,0
"uday kotak sell 2.8 % stake kotak mahindra bank r 6,800 crore",currently kotak family hold 28.8 cent stake bank rbi mandate 26 cent,PTI ,6/1/2020,1,6,2020,0,neutral,neutral,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0
order junking india product capf canteen withdrawn issuing officer removed,order withdrawn ‘ issued consultation senior ’ new order issued fresh list product,Ananya Bhardwaj ,6/1/2020,1,6,2020,0,neutral,neutral,0.0,0.94,0.06,0.16,0.81,0.03,0,1,0,0,1,0
indian chinese brigade commander meet lac — ‘ breakthrough talk positive ’,tactical commander india china held talk board boat pangong lake past day ease tension,Snehesh Alex Philip ,6/1/2020,1,6,2020,0,neutral,neutral,0.36,0.63,0.01,0.29,0.69,0.02,0,1,0,0,1,0
kanpur principal claim ‘ blackmail bid ’ viral video show calling tablighis terrorist,dr aarti lalchandani gvsm medical college kanpur claim video ‘ tampered ’ acknowledges upset ‘ misbehaviour ’ jamaatis,Prashant Srivastava ,6/1/2020,1,6,2020,0,negative,negative,0.0,0.02,0.98,0.0,0.11,0.89,1,0,0,1,0,0
factor need considered resuming international flight hardeep singh puri,civil aviation minister said indian metro city allowing limited flight operate country ban entry foreigner,PTI ,6/1/2020,1,6,2020,0,neutral,negative,0.02,0.96,0.02,0.01,0.28,0.71,0,1,0,1,0,0
modi govt soon publish magazine 13 language highlight achievement,fortnightly magazine called ‘ new india samachar ’ published bureau outreach communication got delayed covid-19 pandemic,Amrita Nayak Dutta ,6/1/2020,1,6,2020,0,neutral,negative,0.13,0.85,0.02,0.0,0.02,0.98,0,1,0,1,0,0
amit shah begin bjp campaign bihar week virtual rally,sanjay jaiswal state president bjp said party set target roping 'at lakh people 243 assembly segment bihar ' video conference,PTI ,6/1/2020,1,6,2020,0,neutral,neutral,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0
govt put hold list non-swadeshi item capf canteen,according official list banned item included india product leading hold revised list released soon,PTI ,6/1/2020,1,6,2020,0,neutral,negative,0.03,0.95,0.02,0.0,0.13,0.87,0,1,0,1,0,0
’ s r 15 3 meal chennai ’ s amma canteen end free food bad news,tamil nadu government ’ s subsidised eatery providing free food lockdown chennai ’ s 407 amma canteen,Revathi Krishnan ,6/1/2020,1,6,2020,0,negative,neutral,0.05,0.13,0.82,0.13,0.86,0.01,1,0,0,0,1,0
